;Object;Square;Place;Material;Finish;Otd_Vstr;Transport;Otopl;Nazn;ValueForSquareMetre
1;Analog 1;300;2;1;3;1;3;1;3;211.6
2;Analog 2;300;1;0;1;1;1;0;2;61.33
3;Analog 3;510;2;1;2;1;1;1;3;153.33
4;Analog 4;150;4;1;1;0;4;1;2;276
5;Analog 5;1000;2;0;2;1;2;1;2;184
6;Analog 6;200;2;1;2;0;2;1;2;257.6
7;Analog 7;200;3;1;3;1;3;1;3;276
8;Analog 8;400;2;1;2;0;3;1;3;211.6
9;Analog 9;260;3;0;2;1;3;0;1;123.85
10;Analog 10;800;1;1;2;1;1;0;3;73.6
11;Analog 11;84;2;1;1;1;3;1;2;240.95
12;Analog 12;200;4;0;2;0;5;1;2;230
13;Analog 13;130;4;1;2;0;5;1;2;297.23
14;Analog 14;215;3;1;2;0;4;1;1;231.07
15;Analog 15;300;3;1;2;0;3;1;2;153.33
16;Analog 16;117;4;1;3;0;5;1;3;353.85
17;Analog 17;93;3;1;3;1;5;1;3;346.24
18;Analog 18;450;1;0;1;1;1;1;1;92
19;Analog 19;70;4;1;1;0;5;1;2;276
20;Analog 20;300;2;1;2;0;2;1;2;153.33
21;Analog 21;1000;3;1;2;1;5;1;3;184
22;Analog 22;3500;2;1;2;1;3;1;2;197.8
23;Analog 23;63;4;1;3;1;5;1;3;292.06
24;Analog 24;400;3;1;1;1;5;1;3;172.5
25;Analog 25;80;4;0;3;1;5;1;1;184
26;Analog 26;250;3;1;1;1;5;0;1;110.4
27;Analog 27;118;3;1;3;0;5;1;3;276
28;Analog 28;315;2;1;1;0;1;1;1;192.76
29;Analog 29;700;3;1;1;0;5;1;3;318.06
30;Analog 30;350;2;1;3;0;3;1;1;199.77
31;Analog 31;800;1;1;1;0;1;0;2;74.75
32;Analog 32;150;3;1;2;0;5;1;2;276
33;Analog 33;200;3;1;2;1;4;1;2;207
34;Analog 34;350;2;1;3;0;3;1;1;199.77
35;Analog 35;236;4;1;2;1;5;1;3;194.92
36;Analog 36;2100;2;1;1;1;1;0;1;138
37;Analog 37;315;2;1;1;0;1;1;1;192.76
38;Analog 38;170;4;1;1;1;5;0;1;86.59
39;Analog 39;800;2;1;3;1;2;1;3;174.8
